Rating,Title,Content
3,Air France là số 1,"Chuyến đi của chúng tôi đến Paris là một chuyến bay đêm khuya trên Air France. Máy bay phản lực là cơ thể rộng với 10 SEATS trên, 2 lối đi. Ghế thực sự đủ rộng cho một người có trọng lượng từ 225 - 250. . Giải trí đến dưới dạng phim, nhạc và trò chơi bất tận, tất cả đều được bao gồm. . Hai bữa ăn rất đáng kể được phục vụ từ thực đơn và các chai rượu vang miễn phí. . . Đến đúng giờ và cùng quay lại NY 12 ngày sau Vive la Air France! ! ! !"
3,Một trong những hãng hàng không giá rẻ tôi khá hài lòng,"Hàng không giá rẻ nhưng không bị delay. Chuyến bay khá ok, chất lượng dịch vụ khá ổn dù tôi phải nối chuyến ở Kuala Lumpur do thời điểm đó chưa có đường bay thẳng từ Hà Nội đến Bali. Nói chung tôi khá hài lòng với hãng Air Asia."
3,HÃNG HÀNG KHÔNG GIÁ RẺ TỐT NHẤT THẾ GIỚI,"Một hãng hàng không có giá rất vừa với túi Tiền, dịch vụ khá tốt so với giá đưa ra. Tiếp viên rất thân thiện. Tàu bay nhỏ, chỗ ngôi chưa thật sự thoải mái nhưng chung quy lại vẫn là một hãng hàng không đáng giá."
3,"Giá vé máy bay rẻ, bay đúng giờ, dịch vụ tốt","Nói chung là đây là hãng hàng không giá rẻ nhưng chất lượng dịch vụ khá ổn trong tầm giá. Tôi bay chặng Hà Nội - Kualar Lumpur, nhìn chung mọi thứ khá ổn. Dịch vụ mặt đất rất tốt ở cả hai sân bay Nội Bài và Kualar Lumpur. Giá vé máy bay khá rẻ nếu đặt sớm, bay đúng giờ, tàu bay nhỏ, ghế ngồi hơi nhỏ và khoảng cách giữa các hang ghế ngắn hơi bất tiện cho ai có thân hình lớn. Tuy nhiên nếu mua hang cao hơn thì vẫn có thể ngồi ở hang ""hot seat"" có bữa ăn mien phí. Tiếp viên khá thân thiện, nhiệt tình và chuyên nghiệp. Sau khi đến Kualar Lumpur tôi còn tiếp tục bay đi Tawau và trải nghiệm cũng tương tự."
3,"Gía vé máy bay rẻ. Bay dung gio, an toàn. có dịch vụ ăn uống tren chuyen bay. thai do phuc vu tot.","Toi rat thich bay voi hang AirAsia, đa bay 2 chuyen voi hang, hanh trinh di Bangkok va Penang. Trong năm 2018 toi tiep tuc bay voi hang AirAsia di Manila, chuc hang se phuc vu tot hanh khach nhu da tung phuc vu va co nhieu chuyen bay gia re cho moi nguoi."
2,Chuyến bay đầu tiên.,"Gía vé máy bay rẻ. Bay nhanh, an toàn. Ghế ngồi hơi nhỏ và không có dịch vụ giải trí và ăn uống miễn phí."
1,Rất tệ,"Thai Air Asian rất tệ. Không trung thực. Không chuyên nghiệp. Xử lý mất thời gian.
Tôi phải mua vé 3 lần để về nhà. Bị kẹt ở Chiangmai 4 ngày. Họ lừa tôi mua vé rồi Không nói cho tôi biết những thông tin cần thiết.
Quầy thủ tục Không trung thực khi tôi phải thanh toán hơn 1300$ mà vé chỉ có 100$ cho 1h30 bay về nhà.
Người quản lý và nhân viên Quầy Không nói cho tôi khi tôi mua vé về nhà 3 lần. Họ nói tôi được đổi vé trong 7 ngày. Nhưng mỗi lần phải báo trước 18h.
Họ không cho tôi vé khi tôi trung chuyển 1h20. Họ nói tôi đủ thời gian gian nhưng lừa tôi phải mua 1 chuyến mới khác checkin trước 2h
THAI AIR ASIAN RẤT RẤT TỆ. máy bay cũ. Chỗ ngồi cứng Không thoải mái. Khi gặp vấn đề về vé phải thanh toán gấp đôi và mỗi nhân viên đưa 1 giá khác nhau.
KHÔNG NÊN ĐI Air Asian
Tôi đã mất 1300$ và 4 ngày mắc kẹt cũng như phải thanh toán khác sạn."
1,Không tốt,Nhân viên chekin quá tệ .không niềm nở vui vẻ với khách hàng.ăn nói mất lịch sự.nhất là nhân viên nữ
3,"Cheap airline, good service","- Hãng hàng không giá rẻ nhưng dịch vụ khá tốt, chuyến bay đến và đi đúng giờ, không bị delay
- Chỗ ngồi nhỏ,phù hợp với người Châu Á
- Đồ ăn tệ, giá đắt"
3,Rất tuyệt vời,Rất thích đi hãng AirAsia và giới thiệu cho mọi người. gia đình tôi có kế hoạch đi sẽ tiếp tục đi vào tháng 12 năm 2017 và nh8ng4 năm tiếp theo.
3,Giá rẻ.,"Giá tốt nếu đặt trước 3 tháng. Máy bay nhỏ và cũ gây ồn.
Vì airasia chỉ có 2 chuyến 1 ngày nên bất tiện về thời gian chiều về.
Sân bay donmeung nhỏ, ít quầy check in, lần nào về cũng phải xếp hàng dài, check in cùng khách đi nước khác.
Làm thủ tục lâu, 6:45 bay mà 6:30 mới check in xong
Trước giờ lên máy bay thường thì các hãng khác sẽ nhắc, còn hãng này thì không. Nếu không chú ý sẽ bị muộn.
Mình đi không bị delay bao giờ."
3,Nhân viên dễ thương (của Thái) nhưng hay delay,"Nhìn chung thì nhân viên của AirAsia Thai dễ thương, thân thiện.
Giá thì lúc nào cũng rẻ và có nhiều khuyến mãi
Nhưng có lẽ do lần đầu đi hãng mà gặp delay nên hơi mệt mỏi (tại đó là chuyến về), nhưng tính mình trước giờ không chấp nhất mấy vụ delay này nên cũng ko sao, coi như có thêm thời gian khám phá sân bay thôi :p
Máy bay nhỏ và hơi cũ, nhưng cái không thích nhất là hành khách, mình là người Việt đi chung với người Việt còn thấy khó chịu, ngồi kế ông nào đấy cũng bận đồ lịch sự lắm, vậy mà nói năn luyên thuyên từ hàng trên xuống hàng dưới (đi theo đoàn) lại còn bốc phét đủ chuyện, nói chung là chả có tí lịch sự, lúc về còn thêm vụ điện thoại nữa, bó tay!!"
3,máy bay hơi cũ,Máy bay hơi cũ nên chuyến bay bị ồn. Các dịch vụ còn lại chấp nhận được. Nhân viên check in nên có thái độ niềm nở với khách hàng hơn.
3,Trải nghiệm bay giá rẻ,"Vào tháng mười, chồng tôi, con trai 25 tuổi của tôi và tôi đã đáp chuyến bay giá rẻ của Air Asia đến Campuchia qua Thái Lan từ Kolkata và trở về. Tôi muốn chia sẻ kinh nghiệm rằng mọi thứ đều hoạt động tốt. Chỉ nên trả trước cho một số kg thêm cho hành lý."
1,Thiếu tôn trọng khách,Ko hoàn tiền cho khách. Thiếu tôn trọng. Tôi gửi email và cmt Facebook họ đều ko trả lời. Quá tệ hại
3,An toàn,"Lịch sự , cần hổ trợ,
Luôn được giúp đỡ, hổ trợ thân thiện .
Hy vọng những chuyến đi sau vẫn được quan tâm , giúp đỡ."
2,Tạm ổn cho chặng hay ngắn,"Nhân viên hàng không tưng đối vui vẻ,thích hợp bay chặng ngắn ,chất lượng thức ăn và dịch vụ tầm trung ,"
1,KHÔNG SỬ DỤNG AMERICAN AIRLINES Ở NƯỚC NGOÀI.,"Khởi hành ra nước ngoài là một cơn ác mộng! ! . Chúng tôi đã đăng ký trực tuyến theo hướng dẫn nhưng chúng tôi không gửi mã QR hoặc vé điện tử. Vì vậy, 2 giờ sau khi đến sân bay, quầy làm thủ tục của American Air đã (dự kiến) đã đóng và Groundforce đã cung cấp cho chúng tôi 3 số điện thoại đều nói rằng họ không có mặt. Chúng tôi bị mắc kẹt không có cách nào để giải quyết vấn đề đó, ngay cả với số trợ giúp 24 giờ"
1,Hãng hàng không tệ nhất tuyệt đối ở Mỹ,"Bốn chuyến bay khác nhau Charleston đến Charlotte đến DeGalle, Heathrow đến Charlotte đến Charleston - mọi chuyến bay đều bị hoãn, không chuyến nào vì lý do thời tiết. Và họ đã thay đổi chuyến bay đầu tiên thành một thời điểm bất tiện đến nực cười - quá cảnh ở Charlotte trong 6 giờ.
Nếu họ trung thực ở chặng cuối và nói với chúng tôi rằng chuyến bay từ Las Vegas đến muộn thì chúng tôi có thể lái xe đến Charleston trong một nửa thời gian chúng tôi chờ đợi.
Sau đó, họ đặt tất cả hành lý từ một chuyến bay bị hủy lên chuyến bay của chúng tôi nên một nửa số người trên chuyến bay phải đợi đến ngày mai để lấy hành lý của chúng tôi. Hãng hàng không tệ nhất tuyệt đối bây giờ. Tại sao họ không thể để TWA hiệu quả một mình! !"
3,Chăm sóc lẫn nhau,"Có sự chậm trễ trong chuyến bay của chúng tôi từ RDU đến Dallas nhưng nhân viên thực sự quan tâm đến hành khách. Ví dụ, một trong những tiếp viên hàng không (một phụ nữ) đã tiếp cận tôi ngay trước khi chúng tôi xuống máy bay khi nối chuyến. Ở Dallas để yêu cầu tôi thông báo cho nhân viên bàn ở chuyến bay nối chuyến đến Sacramento rằng một bà mẹ có hai con cũng cần bắt chuyến bay nhưng họ ở phía sau máy bay (tôi ngồi khoang hạng nhất nên tôi xuống máy bay tương đối dễ dàng và là một trong số ít người đầu tiên ra khỏi máy bay). Tôi thực tế đã chạy để bắt chuyến bay chuyển tiếp và thông báo cho người đại diện về việc người mẹ và 2 đứa con nhỏ của cô ấy cũng đang cố bắt chuyến bay tương tự. Vài phút sau, có thông báo rằng chuyến bay đến Sacramento bị hoãn và đối với tôi, tôi cảm thấy điều đó là chính đáng và không bận tâm. Nó cảm thấy thần để chăm sóc lẫn nhau."
